search URL:,https://patents.google.com/?q=mouse&q=trap&oq=mouse+trap
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5107619-A,Electric mouse trap ,"Alfredo Zapata, George Spector","Alfredo Zapata, George Spector",1991-04-01,1991-04-01,1992-04-28,1992-04-28,https://patents.google.com/patent/US5107619A/en,https://patentimages.storage.googleapis.com/60/04/7c/45e53aa66ffd3a/US5107619-drawings-page-2.png
US-3423870-A,Automatic mouse traps ,John C Kost,John C Kost,1965-08-19,1965-08-19,1969-01-28,1969-01-28,https://patents.google.com/patent/US3423870A/en,https://patentimages.storage.googleapis.com/94/55/dd/4203b702c56e8c/US3423870-drawings-page-1.png
NO-854618-L,Mouse Trap. ,Amcan Inc,"Dennis G Kaiser, Robert D Kaiser",1984-11-20,1985-11-19,1986-05-21,,https://patents.google.com/patent/NO854618L/en,
US-4161079-A,Instant mouse trap ,Isaac Hill,Isaac Hill,1977-12-27,1977-12-27,1979-07-17,1979-07-17,https://patents.google.com/patent/US4161079A/en,https://patentimages.storage.googleapis.com/6f/3e/36/bd2353b6cdc8ff/US4161079-drawings-page-2.png
US-4574519-A,Mouse trap ,Eckebrecht James L,James L. Eckebrecht,1983-09-28,1983-09-28,1986-03-11,1986-03-11,https://patents.google.com/patent/US4574519A/en,https://patentimages.storage.googleapis.com/1c/c5/69/27792d479987b8/US4574519-drawings-page-2.png
US-4241531-A,Mouse trap ,"Nelson Alfred O, Betty Jo Nelson","Alfred O. Nelson, Betty Jo Nelson",1979-02-28,1979-02-28,1980-12-30,1980-12-30,https://patents.google.com/patent/US4241531A/en,https://patentimages.storage.googleapis.com/92/34/1b/66707ba0430a7c/US4241531-drawings-page-2.png
US-4787170-A,Low oxygen scented mouse trap ,"Pied Piper International, Inc.","William E. Kingsbury, Kenneth R. Bernard",1986-08-14,1986-08-14,1988-11-29,1988-11-29,https://patents.google.com/patent/US4787170A/en,https://patentimages.storage.googleapis.com/b0/74/8d/bf07c2f44225d2/US4787170-drawings-page-2.png
US-9003691-B2,Electronic mouse trap module ,Rany ARLICHSON,Rany ARLICHSON,2011-08-03,2011-08-03,2015-04-14,2015-04-14,https://patents.google.com/patent/US9003691B2/en,https://patentimages.storage.googleapis.com/e2/6b/0b/295f8bc3773202/US09003691-20150414-D00000.png
US-5337512-A,Mouse trap ,Krenzler Leo M,Leo M. Krenzler,1993-03-29,1993-03-29,1994-08-16,1994-08-16,https://patents.google.com/patent/US5337512A/en,https://patentimages.storage.googleapis.com/6a/09/6e/5aaf26741840a1/US5337512-drawings-page-2.png
US-5953853-A,Mouse and rat trap ,Kim; Bok M.,Bok M. Kim,1997-03-31,1997-03-31,1999-09-21,1999-09-21,https://patents.google.com/patent/US5953853A/en,https://patentimages.storage.googleapis.com/ab/c8/44/65d9d4b2287f7a/US5953853-drawings-page-2.png
AU-605833-B2,Mouse and rat trap ,"Helena Vajs, Lubomir Vajs","Helena Vajs, Lubomir Vajs",1987-02-24,1988-02-23,1991-01-24,1991-01-24,https://patents.google.com/patent/AU605833B2/en,
EP-0553336-B1,Trap por catching mice and rats ,Reckitt &amp; Colman Inc.,"Alan Neil Bodker, Craig E. Karasin",1991-08-19,1992-08-10,1998-01-21,1998-01-21,https://patents.google.com/patent/EP0553336B1/en,https://patentimages.storage.googleapis.com/44/95/50/5bb7e072db1eab/00260001.png
US-4665644-A,Mouse and rat trap ,"Lubomir Vajs, Helena Vajs","Lubomir Vajs, Helena Vajs",1986-03-11,1986-03-11,1987-05-19,1987-05-19,https://patents.google.com/patent/US4665644A/en,https://patentimages.storage.googleapis.com/3d/ac/7c/bc761ae4e4726d/US4665644-drawings-page-2.png
US-4062142-A,Trapping and killing apparatus for mice and other animals ,David Lee Marotti,David Lee Marotti,1976-10-22,1976-10-22,1977-12-13,1977-12-13,https://patents.google.com/patent/US4062142A/en,https://patentimages.storage.googleapis.com/1d/98/a1/551983a6a8685c/US4062142-drawings-page-2.png
US-1618513-A,Animal trap ,Charles H Wells,Charles W Coghill,1926-07-10,1926-07-10,1927-02-22,1927-02-22,https://patents.google.com/patent/US1618513A/en,https://patentimages.storage.googleapis.com/48/27/33/7eb3fd7f372522/US1618513-drawings-page-1.png
US-4244134-A,Disposable pest trap ,Otterson Harry J,Harry J. Otterson,1979-04-09,1979-04-09,1981-01-13,1981-01-13,https://patents.google.com/patent/US4244134A/en,https://patentimages.storage.googleapis.com/eb/44/41/245610256dfed5/US4244134-drawings-page-2.png
US-7987628-B2,Animal trap ,Swissinno Solutions Ag,"Gabriel Le Laidier, Dennis Walstad, Silvin Jancic",2005-09-02,2005-09-02,2011-08-02,2011-08-02,https://patents.google.com/patent/US7987628B2/en,https://patentimages.storage.googleapis.com/90/2d/7c/6d3bd5a1cd69a5/US07987628-20110802-D00000.png
WO-03084320-A1,Method and apparatus for automatic pest trap report generation and for recording additional trap parameter data ,"Ecolab, Inc.","James P. Gardner, Stephen X. Skaff, Kraig S. Lund, David N. Demattia, Louis Mark Holzman",2002-03-29,2003-03-26,2003-10-16,,https://patents.google.com/patent/WO2003084320A1/en,
CA-1036355-A,Animal trap and package therefor ,"Anthony J. Souza, Woodstream Corporation",Anthony J. Souza,1976-04-06,1976-06-15,1978-08-15,1978-08-15,https://patents.google.com/patent/CA1036355A/en,
US-6415544-B1,Rodent trap with entrapping teeth ,"Bell Laboratories, Inc.","Rick Leyerle, Scott J. Collins, James R. Walsh, Daniel C. Johnson",2000-04-28,2000-04-28,2002-07-09,2002-07-09,https://patents.google.com/patent/US6415544B1/en,https://patentimages.storage.googleapis.com/3b/74/0b/bb3cebe4477335/US06415544-20020709-D00000.png
US-4291486-A,Rodent trap ,"Farnam Companies, Inc.",Donald C. Lindley,1979-11-30,1979-11-30,1981-09-29,1981-09-29,https://patents.google.com/patent/US4291486A/en,https://patentimages.storage.googleapis.com/ab/73/15/a21d933d66de5b/US4291486-drawings-page-2.png
US-6796081-B2,Animal trap ,Woodstream Corporation,"David L. Anderson, Michael J. Gehret, David W. Swift, Christopher T. Rich",2002-12-17,2003-11-12,2004-09-28,2004-09-28,https://patents.google.com/patent/US6796081B2/en,https://patentimages.storage.googleapis.com/5e/3e/f2/137971e4085356/US06796081-20040928-D00000.png
US-4711049-A,Animal trap ,"Kness Manufacturing Co., Inc.",Lester E. Kness,1986-09-25,1986-09-25,1987-12-08,1987-12-08,https://patents.google.com/patent/US4711049A/en,https://patentimages.storage.googleapis.com/46/2e/65/280977de4e52c7/US4711049-drawings-page-2.png
US-4815231-A,Trap for small crawling pests ,Mcqueen Robert,Robert McQueen,1985-10-21,1987-11-25,1989-03-28,1989-03-28,https://patents.google.com/patent/US4815231A/en,https://patentimages.storage.googleapis.com/37/ab/39/d34351b8af5f46/US4815231-drawings-page-2.png
US-8104222-B2,Animal trap ,Hovey David C,David C. Hovey,2009-07-31,2009-07-31,2012-01-31,2012-01-31,https://patents.google.com/patent/US8104222B2/en,https://patentimages.storage.googleapis.com/67/24/b3/0b2ba2d3b2261a/US08104222-20120131-D00000.png
US-4231180-A,Disposable animal trap ,W. Wayne Bare,W. Wayne Bare,1978-10-25,1978-10-25,1980-11-04,1980-11-04,https://patents.google.com/patent/US4231180A/en,https://patentimages.storage.googleapis.com/6d/c3/89/a7bfd93c0048c0/US4231180-drawings-page-2.png
US-5477635-A,Signaling apparatus for use with a disposable animal trap ,Orsano; Anthony,Anthony Orsano,1993-06-29,1993-06-29,1995-12-26,1995-12-26,https://patents.google.com/patent/US5477635A/en,https://patentimages.storage.googleapis.com/b3/3a/d8/1494ffd53ab6b6/US5477635-drawings-page-2.png
EP-0034426-A1,Vermin trap ,"Brian Roy Gardner, Loraine Pamela Gardner","Brian Roy Gardner, Loraine Pamela Gardner",1980-02-01,1981-01-30,1981-08-26,,https://patents.google.com/patent/EP0034426A1/en,https://patentimages.storage.googleapis.com/4d/2b/e4/80e5a85d566516/imgf0001.png
US-6137415-A,Audio signal for spring-loaded rodent traps ,Rastar Corporation,Rodger Hugo Rast,1998-03-12,1998-03-12,2000-10-24,2000-10-24,https://patents.google.com/patent/US6137415A/en,https://patentimages.storage.googleapis.com/9a/1d/77/3f6a53d581e5cc/US6137415-drawings-page-2.png
CA-2388534-C,A locking door mechanism for an animal trap ,David W. Lafforthun,David W. Lafforthun,2001-06-04,2002-05-31,2008-11-18,2008-11-18,https://patents.google.com/patent/CA2388534C/en,
US-6190412-B1,Trap-coated bone grafts and prostheses ,Washington Research Foundation,"Minako Yoshioka Lee, David Rodney Eyre, Mary Ann Eklof Weis",1997-04-22,1998-04-21,2001-02-20,2001-02-20,https://patents.google.com/patent/US6190412B1/en,https://patentimages.storage.googleapis.com/81/7f/9e/d942643e4de8ba/US6190412-drawings-page-3.png
US-3975857-A,Rodent trap ,"Branson Donald M, Klitzke Kermit A","Donald M. Branson, Kermit A. Klitzke",1975-05-12,1975-05-12,1976-08-24,1976-08-24,https://patents.google.com/patent/US3975857A/en,https://patentimages.storage.googleapis.com/16/50/58/a4000328d0ce67/US3975857-drawings-page-2.png
US-4876821-A,Magnetic automatic reset animal trap ,Paul Benzie,Paul Benzie,1988-12-27,1988-12-27,1989-10-31,1989-10-31,https://patents.google.com/patent/US4876821A/en,https://patentimages.storage.googleapis.com/70/ac/17/62e7f460d44f02/US4876821-drawings-page-2.png
CN-101516184-B,General pest animal trap having interchangeable insert station ,埃科莱布有限公司,"T·内尔松, W·帕蒂森, J·兰兹, B·亨尼曼, R·弗雷德利克, J·塔拉拉",2006-09-22,2007-09-19,2014-10-22,2014-10-22,https://patents.google.com/patent/CN101516184B/en,
US-4908976-A,Tubular shaped vermin trap with interior adhesive and suffocation means ,Pierre Dagenais,Pierre Dagenais,1988-11-08,1988-11-08,1990-03-20,1990-03-20,https://patents.google.com/patent/US4908976A/en,https://patentimages.storage.googleapis.com/c8/b3/e7/be244804e29e32/US4908976-drawings-page-2.png
US-4780985-A,Electric mouse exterminator ,Coots Claude G,Claude G. Coots,1987-01-12,1987-01-12,1988-11-01,1988-11-01,https://patents.google.com/patent/US4780985A/en,https://patentimages.storage.googleapis.com/c4/9b/b8/a6a6035542441a/US4780985-drawings-page-2.png
US-5844775-A,Mouse cable holder ,Steven W. Lundberg,Steven W. Lundberg,1996-07-25,1996-07-25,1998-12-01,1998-12-01,https://patents.google.com/patent/US5844775A/en,https://patentimages.storage.googleapis.com/a1/b9/c7/3b941948dffb19/US5844775-drawings-page-2.png
US-4625452-A,Bait station and trap ,Knote Charles E,Charles E. Knote,1983-10-11,1985-04-03,1986-12-02,1986-12-02,https://patents.google.com/patent/US4625452A/en,https://patentimages.storage.googleapis.com/3f/37/cc/b8d5c9729b25a6/US4625452-drawings-page-2.png
US-2490180-A,Trap ,Jr Robert M Varnedoe,Jr Robert M Varnedoe,1946-10-01,1946-10-01,1949-12-06,1949-12-06,https://patents.google.com/patent/US2490180A/en,https://patentimages.storage.googleapis.com/pages/US2490180-0.png
US-6202340-B1,Electronically actuated animal trap ,Joniel Nieves,Joniel Nieves,1999-08-18,1999-08-18,2001-03-20,2001-03-20,https://patents.google.com/patent/US6202340B1/en,https://patentimages.storage.googleapis.com/61/d3/15/82c8efbf879841/US6202340-drawings-page-2.png
US-2475462-A,Mousetrap ,Rosen Paul,Rosen Paul,1947-01-24,1947-01-24,1949-07-05,1949-07-05,https://patents.google.com/patent/US2475462A/en,https://patentimages.storage.googleapis.com/23/f2/9b/f6b4ae1e7b088f/US2475462-drawings-page-1.png
US-4425731-A,Disposable rodent trap ,"Farnam Companies, Inc.",Joseph Orlando,1981-07-20,1981-07-20,1984-01-17,1984-01-17,https://patents.google.com/patent/US4425731A/en,https://patentimages.storage.googleapis.com/d2/91/19/51dc4dbb5eb71b/US4425731-drawings-page-2.png
US-1218406-A,Mouse and rat trap. ,William Harris Jackson,William Harris Jackson,1916-01-15,1916-01-15,1917-03-06,1917-03-06,https://patents.google.com/patent/US1218406A/en,https://patentimages.storage.googleapis.com/bb/3a/1e/d39be951deaa00/US1218406-drawings-page-1.png
US-4709502-A,Electric roach trap ,Albert Bierman,Albert Bierman,1985-09-13,1985-09-13,1987-12-01,1987-12-01,https://patents.google.com/patent/US4709502A/en,https://patentimages.storage.googleapis.com/f4/44/b8/99cbc0cd0b355c/US4709502-drawings-page-2.png
US-9439412-B2,Motion activated non-lethal animal trap ,Richard Kittelson,Richard Kittelson,2012-01-10,2013-01-10,2016-09-13,2016-09-13,https://patents.google.com/patent/US9439412B2/en,https://patentimages.storage.googleapis.com/31/07/83/150adff5f5dd79/US09439412-20160913-D00000.png
US-2485319-A,Sanitary mousetrap ,"Arthur Rosen, Alice Gendel",Rosen Paul,1947-09-24,1947-09-24,1949-10-18,1949-10-18,https://patents.google.com/patent/US2485319A/en,https://patentimages.storage.googleapis.com/21/0b/ff/d9b7df18ac1adb/US2485319-drawings-page-1.png
US-2510655-A,Mousetrap ,"Price Albert, Merle K Benson","Price Albert, Merle K Benson",1948-02-02,1948-02-02,1950-06-06,1950-06-06,https://patents.google.com/patent/US2510655A/en,https://patentimages.storage.googleapis.com/97/43/4a/a5459d5a9a1939/US2510655-drawings-page-1.png
JP-H0767650-A,Recombinant app minigene for expression in transgenic mice as model for alzheimer's disease ,"Miles Inc, マイルス・インコーポレーテツド","Richard Bayney, Peter Rae, Triprayer V Ramabhadran, George Scangos, Axel Unterbeck, Dana O Wirak, アクセル・ウンターベツク, ジヨージ・スカンゴス, デイナ・オー・ウイラク, トリプレイヤー・ブイ・ラマブハドラン, ピーター・ラエ, リチヤード・ベイネイ",1990-04-10,1991-04-09,1995-03-14,,https://patents.google.com/patent/JPH0767650A/en,
AU-658573-B2,Electromechanical device for the continuous trapping of pests ,"Cerullo, Andrea, Cerullo, Giorgio, Mariano Cerullo, Olivier, Linda",Mariano Cerullo,1990-07-06,1991-07-01,1995-04-27,1995-04-27,https://patents.google.com/patent/AU658573B2/en,
US-7841130-B2,Humane animal trap ,"Pied Piper International, Inc.",Irwin Blau,2005-07-22,2005-07-22,2010-11-30,2010-11-30,https://patents.google.com/patent/US7841130B2/en,https://patentimages.storage.googleapis.com/6a/bc/90/ee5412c55a319a/US07841130-20101130-D00000.png
US-4768305-A,Animal trap ,Sackett Robert L,Robert L. Sackett,1987-07-02,1987-07-02,1988-09-06,1988-09-06,https://patents.google.com/patent/US4768305A/en,https://patentimages.storage.googleapis.com/0d/c6/44/91a2080336102c/US4768305-drawings-page-2.png
US-4145834-A,Animal trap ,Quigley John R,John R. Quigley,1977-10-11,1977-10-11,1979-03-27,1979-03-27,https://patents.google.com/patent/US4145834A/en,https://patentimages.storage.googleapis.com/df/ad/5d/1b021b5a4abd63/US4145834-drawings-page-2.png
US-2013160349-A1,Mousetrap ,Reckitt Benckiser (Australia) Pty Limited,"Brendyn Murray Rodgers, Duncan McLeod Watson, Jeffrey West",2003-10-31,2013-02-18,2013-06-27,,https://patents.google.com/patent/US20130160349A1/en,https://patentimages.storage.googleapis.com/01/1f/a5/38d68d5e402740/US20130160349A1-20130627-D00000.png
US-1581297-A,Mousetrap ,Schmuck Nicolai Heinrich,Schmuck Nicolai Heinrich,1925-01-12,1925-01-12,1926-04-20,1926-04-20,https://patents.google.com/patent/US1581297A/en,https://patentimages.storage.googleapis.com/ff/b6/44/546032427b85ce/US1581297-drawings-page-1.png
US-2005102887-A1,Rodent trap ,"Lang Jason G., Nelson Thomas D.","Jason Lang, Thomas Nelson",2003-11-17,2003-11-17,2005-05-19,,https://patents.google.com/patent/US20050102887A1/en,https://patentimages.storage.googleapis.com/1f/af/39/83b1d273123179/US20050102887A1-20050519-D00000.png
US-2529589-A,Mousetrap ,Biery Arthur,Biery Arthur,1949-11-28,1949-11-28,1950-11-14,1950-11-14,https://patents.google.com/patent/US2529589A/en,https://patentimages.storage.googleapis.com/c7/eb/dc/93020656b5a969/US2529589-drawings-page-1.png
US-5930944-A,Apparatus and method for trapping and monitoring mice and insects ,"Kness Mfg. Co., Inc.",Harry E. Knuppel,1997-02-18,1997-02-18,1999-08-03,1999-08-03,https://patents.google.com/patent/US5930944A/en,https://patentimages.storage.googleapis.com/12/d5/6b/28c9315f036fcd/US5930944-drawings-page-2.png
US-4245423-A,Animal trap ,Woodstream Corporation,"Anthony J. Souza, Joseph H. Bumsted",1978-12-01,1978-12-01,1981-01-20,1981-01-20,https://patents.google.com/patent/US4245423A/en,https://patentimages.storage.googleapis.com/99/3b/34/3a6811627afafa/US4245423-drawings-page-2.png
US-6016623-A,Rodent trap ,Celestine; Wallace,Wallace Celestine,1998-10-08,1998-10-08,2000-01-25,2000-01-25,https://patents.google.com/patent/US6016623A/en,https://patentimages.storage.googleapis.com/01/40/3d/3d96c77b49da46/US6016623-drawings-page-5.png
US-6725597-B2,Pest control device ,Ecolab Inc.,"Thomas D. Nelson, Vince R. Harris, Martijn Loerakker",2002-03-28,2002-03-28,2004-04-27,2004-04-27,https://patents.google.com/patent/US6725597B2/en,https://patentimages.storage.googleapis.com/f1/23/c5/b7dfa397d5aed2/US06725597-20040427-D00000.png
JP-5845207-B2,Antibodies targeting the osteoclast-related protein Siglec-15 ,第一三共株式会社,"由晴 昼間, 由晴 昼間, 津田　英資, 英資 津田",2007-10-11,2013-04-05,2016-01-20,2016-01-20,https://patents.google.com/patent/JP5845207B2/en,
US-9785155-B2,Systems and methods utilizing a wireless mesh network ,"Millennial Net, Inc.","Sokwoo Rhee, Sheng Liu, Martin Hanssmann, David Hirst, Tairin Hahn, Mark D. O'Hearne, Lynne Thomas",2010-01-19,2011-01-18,2017-10-10,2017-10-10,https://patents.google.com/patent/US9785155B2/en,https://patentimages.storage.googleapis.com/e7/66/9a/876573429b770c/US09785155-20171010-D00000.png
WO-03050715-A1,A system for secure distribution of electronic content and collection of fees ,Redbank Manor Pty Ltd,Eric Wilson,2001-12-10,2002-12-10,2003-06-19,,https://patents.google.com/patent/WO2003050715A1/en,
US-8289664-B2,Protective device for an electrical supply facility ,"Pass & Seymour, Inc.","Joshua P. Haines, Kent R. Morgan, Brian Mueller",2010-03-08,2010-03-08,2012-10-16,2012-10-16,https://patents.google.com/patent/US8289664B2/en,https://patentimages.storage.googleapis.com/7d/12/9d/0316f1b7d80cf0/US08289664-20121016-D00000.png
US-8405939-B2,Protective device for an electrical supply facility ,"Pass & Seymour, Inc.","Joshua P. Haines, Kent R. Morgan, Brian Mueller",2010-03-08,2010-03-08,2013-03-26,2013-03-26,https://patents.google.com/patent/US8405939B2/en,https://patentimages.storage.googleapis.com/62/f6/a0/3acfc9542ff463/US08405939-20130326-D00000.png
JP-4854174-B2,Screening assay for agonist or antagonist of NF-κB receptor activator ,イミュネックス・コーポレーションＩｍｍｕｎｅｘ  Ｃｏｒｐｏｒａｔｉｏｎ,ドーガル，ウィリアム・シー,2000-09-22,2001-09-20,2012-01-18,2012-01-18,https://patents.google.com/patent/JP4854174B2/en,
US-8335062-B2,Protective device for an electrical supply facility ,"Pass & Seymour, Inc.","Joshua P. Haines, Kent R. Morgan, Brian Mueller",2010-03-08,2010-03-08,2012-12-18,2012-12-18,https://patents.google.com/patent/US8335062B2/en,https://patentimages.storage.googleapis.com/e9/94/6e/8b802c899a4908/US08335062-20121218-D00000.png
ES-2683845-T3,Patch-like infusion device with protection member ,"Becton, Dickinson And Company","Chris Cindrich, Ralph Sonderegger, Glade Howell, Weston Harding, Alex Lastovich, Lionel Vedrine",2003-08-12,2004-08-12,2018-09-28,2018-09-28,https://patents.google.com/patent/ES2683845T3/en,
US-9948087-B2,Protective device for an electrical supply facility ,"Pass & Seymour, Inc.","Joshua Paul Haines, Kent R. Morgan, Brian Mueller",2010-03-08,2013-03-11,2018-04-17,2018-04-17,https://patents.google.com/patent/US9948087B2/en,https://patentimages.storage.googleapis.com/7d/e2/13/a018805e335f72/US09948087-20180417-D00000.png
US-6461285-B1,Balance trainer ,Jakobs Gmbh,"Josef Theunissen, Ludolf Jakobs",2000-07-19,2000-07-19,2002-10-08,2002-10-08,https://patents.google.com/patent/US6461285B1/en,https://patentimages.storage.googleapis.com/1e/a7/17/b6fada5ddb4039/US06461285-20021008-D00000.png
JP-H06236254-A,Logical circuit group with self-timing function which is perfect in terms of function ,"Hewlett Packard Co <Hp>, ヒューレット・パッカード・カンパニー","Jeffry D Yetter, ジェフリー・ディ・エター",1991-04-12,1992-04-13,1994-08-23,,https://patents.google.com/patent/JPH06236254A/en,
AU-2005200789-B2,Mousetrap ,RB (Hygiene Home) Australia Pty Ltd,"Brendyn Murray Rodgers, Duncan Mcleod Watson",2005-02-22,2005-02-22,2012-08-30,2012-08-30,https://patents.google.com/patent/AU2005200789B2/en,
JP-3862355-B2,Pipeline latches transparent data-triggered ,ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ,"サミュエル・ディー・ナフズィガー, ロバート・エイチ・ミラー，ジュニア",1996-05-24,1997-04-23,2006-12-27,2006-12-27,https://patents.google.com/patent/JP3862355B2/en,https://patentimages.storage.googleapis.com/ab/58/b0/5de2e07828e786/0003862355-2.png
US-6837184-B2,Programmable electronic maze for use in the assessment of animal behavior ,"Psychogenics, Inc.","Vijay Gondhalekar, Daniela Brunner",2001-08-06,2002-08-05,2005-01-04,2005-01-04,https://patents.google.com/patent/US6837184B2/en,https://patentimages.storage.googleapis.com/30/b9/99/12d05b7fbf1451/US06837184-20050104-D00000.png
US-6266917-B1,Pest control system ,"Atlantic Paste & Glue Co., Inc.",Michael Hight,2000-05-26,2000-05-26,2001-07-31,2001-07-31,https://patents.google.com/patent/US6266917B1/en,https://patentimages.storage.googleapis.com/60/7e/66/e8eedb8efb547e/US06266917-20010731-D00000.png
US-6666508-B1,Crash locking mechanism for an adjustment device of an automobile seat ,"Brose Fahrzeugteile Gmbh & Co. Kg, Coburg","Jochen Hofmann, Gregor Kroener",1999-03-17,2000-03-17,2003-12-23,2003-12-23,https://patents.google.com/patent/US6666508B1/en,https://patentimages.storage.googleapis.com/ef/f4/1d/c0c0b0d64dd9c5/US06666508-20031223-D00000.png
US-5446992-A,Vermin bait station ,"Robobs, Inc.",Ronald J. Stewart,1994-02-03,1994-02-03,1995-09-05,1995-09-05,https://patents.google.com/patent/US5446992A/en,https://patentimages.storage.googleapis.com/4b/3f/f1/6bcb7df24d51ac/US5446992-drawings-page-2.png
US-4413439-A,Mousetrap ,Lindley Donald C,Donald C. Lindley,1982-02-12,1982-02-12,1983-11-08,1983-11-08,https://patents.google.com/patent/US4413439A/en,https://patentimages.storage.googleapis.com/99/39/5f/dff46df3d1bbd5/US4413439-drawings-page-2.png
DE-4335245-A1,"Vector logic method and dynamic logic gate for self-timed, monotone logic progression ",Hewlett Packard Co,Jeffrey D Yetter,1993-02-03,1993-10-15,1994-08-04,,https://patents.google.com/patent/DE4335245A1/en,
JP-5078104-B2,Antibodies targeting osteoclast-related proteins ,第一三共株式会社,"尚之 野見山, 敏夫 久木田, 由晴 昼間",2004-02-12,2010-10-14,2012-11-21,2012-11-21,https://patents.google.com/patent/JP5078104B2/en,
AU-2009292955-B2,Rodent management system ,Basf Corporation,"Jonathan D. Berger, James H. Cink, Brian J. Mann, Edward F. Marshall, Wayne H. Moran, James David Poling",2008-09-22,2009-09-21,2014-05-29,2014-05-29,https://patents.google.com/patent/AU2009292955B2/en,
JP-2011526792-A,TNF-α antagonist multi-target binding protein ,エマージェント  プロダクト  デベロップメント  シアトル，  エルエルシー,"ピーター  アームストロング トンプソン，, ピーター  ロバート バウム，, リンダ ミシャー，, ケンダール  マーク モーラー，, アラン  キース ロフクイスト，",2008-07-02,2009-07-02,2011-10-20,,https://patents.google.com/patent/JP2011526792A/en,
CN-1774623-A,System and method of sorting materials using holographic laser steering ,阿尔利克斯公司,"刘易斯·格鲁贝尔, 肯尼思·布拉德利, 沃德·洛佩斯, 罗伯特·W·兰斯洛特, 约瑟夫·S·普莱瓦, 戴维·格里尔",2002-07-31,2003-07-31,2006-05-17,,https://patents.google.com/patent/CN1774623A/en,
US-5185953-A,Rodent extermination device ,Gross Allen W,Allen W. Gross,1991-08-16,1991-08-16,1993-02-16,1993-02-16,https://patents.google.com/patent/US5185953A/en,https://patentimages.storage.googleapis.com/b0/d6/91/f017d70e04d9b5/US5185953-drawings-page-2.png
US-6775946-B2,Remote identifying animal trap ,"The Chamberlain Group, Inc.",Amy Christine Wright,2001-06-11,2001-06-11,2004-08-17,2004-08-17,https://patents.google.com/patent/US6775946B2/en,https://patentimages.storage.googleapis.com/66/79/46/bc692c1b516d13/US06775946-20040817-D00000.png
